"","Bee.02.16S.R1.fastq","Bee.03.16S.R1.fastq","Bee.04.16S.R1.fastq","Bee.05.16S.R1.fastq","Bee.06.16S.R1.fastq","Bee.07.16S.R1.fastq","Bee.08.16S.R1.fastq","Bee.09.16S.R1.fastq","Bee.10.16S.R1.fastq","Bee.11.16S.R1.fastq","Bee.12.16S.R1.fastq","Bee.13.16S.R1.fastq","Bee.14.16S.R1.fastq","Bee.15.16S.R1.fastq","Bee.16.16S.R1.fastq","Bee.17.16S.R1.fastq","Bee.18.16S.R1.fastq","Bee.19.16S.R1.fastq","Bee.20.16S.R1.fastq","Bee.21.16S.R1.fastq","Bee.22.16S.R1.fastq","Bee.23.16S.R1.fastq","Bee.24.16S.R1.fastq","Bee.25.16S.R1.fastq","Bee.26.16S.R1.fastq","Bee.27.16S.R1.fastq","Bee.28.16S.R1.fastq","Bee.29.16S.R1.fastq","Bee.30.16S.R1.fastq","Bee.31.16S.R1.fastq","Bee.32.16S.R1.fastq","Bee.33.16S.R1.fastq","Bee.34.16S.R1.fastq","Bee.35.16S.R1.fastq","Bee.36.16S.R1.fastq","Bee.37.16S.R1.fastq","Bee.38.16S.R1.fastq","Bee.39.16S.R1.fastq","Bee.40.16S.R1.fastq","BeeNCE1.16S.R1.fastq","BeeNCE2.16S.R1.fastq"
"ASV_0032",0,26,0,2883,88,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0033",7,6,0,25,5,0,0,0,0,10,0,0,2,0,0,5,11,128,0,65,620,0,0,0,23,84,215,4,68,3,3,11,0,263,19,49,525,816,9,11,9
"ASV_0034",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,34,0,0,16,14,0,0,0,0,0,52,0,10,4,35,61
"ASV_0035",64,0,135,0,313,0,0,0,0,0,68,0,400,0,0,0,0,146,0,0,0,0,386,170,0,0,0,0,0,0,279,0,0,79,0,391,0,0,0,0,0
"ASV_0036",0,34,0,0,0,39,1969,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0037",0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0
"ASV_0038",0,0,0,0,0,0,0,0,55,0,92,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,472,0,0,0,477,0,0,0,0,0,0,0,0,32
"ASV_0039",10,18,32,15,133,126,27,7,22,46,16,107,33,27,89,0,5,32,0,0,0,34,0,0,0,0,0,0,0,0,0,17,19,48,35,42,108,98,51,18,0
"ASV_0040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,147,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0041",120,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0
"ASV_0043",36,43,68,95,60,118,37,0,2,16,57,4,14,29,0,0,25,37,85,26,22,58,18,19,12,35,19,21,23,7,11,5,19,14,0,10,14,8,0,4,13
"ASV_0044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0
"ASV_0045",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,798,12,0,0,0,0,0,16,0,0,0,17,22
"ASV_0046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0047",0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0048",0,77,6,74,0,0,0,0,10,40,11,15,22,0,0,0,43,6,0,4,16,0,0,0,15,40,37,0,7,0,13,0,6,97,110,9,36,0,0,0,0
"ASV_0049",0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,29,0,0,0,0,0,0,0,0,0,576,0,0,0
"ASV_0050",36,24,34,37,27,32,19,8,0,0,38,0,14,19,13,8,0,15,38,13,0,15,32,27,17,50,27,19,25,14,14,6,0,15,5,0,13,3,0,0,19
"ASV_0051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,653,0,0,0,0
"ASV_0052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0053",2,34,2,9,31,0,50,0,25,32,19,19,21,1,2,0,9,3,0,0,21,18,4,5,1,1,0,0,0,4,43,14,33,59,12,13,1,27,10,1,3
"ASV_0054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,352,0,0,0,0,0,0,0,0,0,32,0,0,0
"ASV_0055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0056",0,0,0,0,0,0,0,0,7,140,74,17,12,111,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0057",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,49,22,0,0,0,0,0,5,0,0,5,16,0,0,26,95,98,34,0,0
"ASV_0058",8,18,26,49,26,1,23,0,21,8,2,3,7,0,1,4,31,15,0,1,7,7,0,1,0,0,0,0,1,1,12,0,6,52,8,9,0,7,9,0,1
"ASV_0059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,25,23,63,30,32,17,15,0,51
"ASV_0061",0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,292,14,0,0,0
"ASV_0064",0,18,28,15,5,2,45,0,15,13,2,3,22,4,2,1,24,2,0,0,0,3,3,1,1,0,0,0,0,0,3,48,3,4,1,19,0,9,0,1,2
"ASV_0065",24,28,0,16,35,21,17,0,0,0,16,9,12,0,0,6,13,0,15,0,0,17,23,0,8,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0
"ASV_0066",9,11,25,4,1,0,0,0,11,20,4,3,23,0,0,0,20,4,0,0,13,2,0,35,0,0,0,0,0,1,2,0,57,9,7,20,1,5,2,0,1
"ASV_0067",0,13,5,6,0,0,0,0,26,124,4,0,4,3,3,0,0,0,0,0,0,0,0,5,5,29,0,0,0,0,0,0,56,5,0,0,0,0,0,0,0
"ASV_0068",12,26,18,0,11,17,17,0,0,0,18,0,0,0,0,0,0,7,28,10,8,13,0,7,0,7,7,10,12,0,0,0,9,6,0,0,9,0,0,2,8
"ASV_0069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,47,0,0,0
"ASV_0070",24,37,10,11,24,14,13,0,0,4,12,0,6,8,0,0,7,8,20,8,4,10,9,6,5,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
"ASV_0071",27,21,44,13,9,9,15,0,0,0,15,0,4,4,0,0,7,4,11,6,7,9,3,3,5,0,9,0,0,4,0,0,0,4,0,2,0,0,0,0,12
"ASV_0072",26,9,16,14,13,32,13,0,0,0,17,0,0,8,0,0,25,4,26,6,5,6,10,5,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV_0073",1,0,1,6,6,7,0,0,0,0,0,6,0,5,0,0,3,0,6,0,0,0,0,1,139,0,8,3,2,6,0,0,8,3,0,15,14,0,0,6,12
"ASV_0074",0,0,60,0,0,7,0,5,111,6,0,53,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0075",5,7,24,11,7,0,3,1,5,4,1,2,12,0,0,2,33,1,0,0,1,6,1,3,0,0,0,0,1,0,4,32,8,50,3,7,1,8,2,2,2
"ASV_0076",18,13,23,15,23,21,19,0,0,0,0,0,0,9,0,0,0,12,12,0,0,0,11,0,13,20,16,0,0,0,0,0,8,0,0,0,0,0,0,0,22
"ASV_0077",0,0,12,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,28,32,24,28,16,0,0,11,0,7,8,0,6,0,7,0
