"","Bee.02.16S.R1.fastq","Bee.03.16S.R1.fastq","Bee.04.16S.R1.fastq","Bee.05.16S.R1.fastq","Bee.06.16S.R1.fastq","Bee.07.16S.R1.fastq","Bee.08.16S.R1.fastq","Bee.09.16S.R1.fastq","Bee.10.16S.R1.fastq","Bee.11.16S.R1.fastq","Bee.12.16S.R1.fastq","Bee.13.16S.R1.fastq","Bee.14.16S.R1.fastq","Bee.15.16S.R1.fastq","Bee.16.16S.R1.fastq","Bee.17.16S.R1.fastq","Bee.18.16S.R1.fastq","Bee.19.16S.R1.fastq","Bee.20.16S.R1.fastq","Bee.21.16S.R1.fastq","Bee.22.16S.R1.fastq","Bee.23.16S.R1.fastq","Bee.24.16S.R1.fastq","Bee.25.16S.R1.fastq","Bee.26.16S.R1.fastq","Bee.27.16S.R1.fastq","Bee.28.16S.R1.fastq","Bee.29.16S.R1.fastq","Bee.30.16S.R1.fastq","Bee.31.16S.R1.fastq","Bee.32.16S.R1.fastq","Bee.33.16S.R1.fastq","Bee.34.16S.R1.fastq","Bee.35.16S.R1.fastq","Bee.36.16S.R1.fastq","Bee.37.16S.R1.fastq","Bee.38.16S.R1.fastq","Bee.39.16S.R1.fastq","Bee.40.16S.R1.fastq","BeeNCE1.16S.R1.fastq","BeeNCE2.16S.R1.fastq","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_0001","455","2540","1423","1736","7519","397","6084","218","2894","4525","4498","6295","6925","134","339","339","95","470","163","261","3643","1036","731","2403","949","1362","528","241","616","838","3265","1651","4708","4308","4143","1579","2422","5599","3129","411","456","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella",NA
"ASV_0002","136","351","75","36","66","22551","430","1127","102","250","179","365","222","53","6366","14774","2770","234","16125","20054","532","122","227","173","111","101","123","319","725","54","222","115","87","88","95","623","13","88","33","374","462","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV_0003","1417","3090","1431","4789","2523","239","1743","136","3643","2236","874","2004","2766","181","144","178","4289","3799","211","218","2277","5212","1136","4151","681","366","238","169","994","1131","5928","3844","5014","2662","3823","1246","437","2065","1221","259","417","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","asteroides"
"ASV_0004","10814","7240","3152","96","153","307","4662","138","777","541","7048","1149","98","232","180","37","3123","451","26","23","41","4349","6822","1264","120","4905","3091","37","42","71","287","105","22","568","5223","1279","39","49","41","289","385","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_0005","1149","1151","2071","51","678","167","858","82","32","2854","965","492","898","105","138","96","3112","70","22","20","588","1049","613","1888","303","755","148","0","97","65","4038","2085","8414","608","1374","2819","929","319","374","158","207","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Bartonella",NA
"ASV_0006","87","509","40","72","44","42","303","167","84","431","1758","1511","1553","47","33","58","61","0","0","49","4102","504","39","133","56","826","401","0","204","264","592","73","675","551","5287","403","2305","9020","1810","193","209","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0007","0","0","20","59","62","0","0","11","0","603","622","11","25","0","8","0","0","0","0","12","15","0","14","241","407","84","25","11104","12502","2716","82","0","241","59","28","807","0","685","38","380","517","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"ASV_0008","43","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","8972","142","13675","70","118","43","24","0","0","1028","14","462","0","48","31","261","416","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","morganii"
"ASV_0009","1245","496","1607","194","39","56","0","59","2173","1487","829","264","719","44","38","0","153","525","39","38","415","621","131","6312","52","163","25","16","237","443","281","0","2300","129","337","1116","36","160","436","155","210","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0010","401","1210","126","180","1618","198","1608","0","662","1358","1355","936","1099","117","82","30","54","258","0","102","651","463","631","165","161","278","106","76","172","602","652","911","1032","664","600","1075","161","725","476","112","127","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","apis"
"ASV_0011","69","138","0","0","8","0","0","16461","260","112","101","278","280","0","0","111","348","1097","0","0","45","22","41","16","0","35","0","0","10","0","288","74","25","42","38","241","0","45","24","138","186","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA
"ASV_0012","582","584","1600","1102","1930","120","749","104","2178","648","222","231","265","54","100","130","159","798","0","64","219","2478","207","355","196","106","39","138","265","424","1358","62","207","499","269","723","138","248","560","110","140","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0013","726","785","1916","566","456","64","1453","0","2205","1261","235","282","842","132","76","132","138","356","0","0","0","412","1782","200","117","0","0","0","0","112","246","3328","233","92","102","1070","40","249","0","60","120","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","melliventris"
"ASV_0014","0","0","0","27","10","0","0","0","95","6","0","51","11","10699","98","496","252","0","543","0","13","70","60","66","0","101","47","2976","43","60","60","9","177","193","184","1181","19","143","49","706","1002","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV_0015","0","0","0","0","74","31","907","0","0","0","0","1765","0","0","41","49","0","9326","39","0","0","86","165","0","73","1238","0","1861","0","0","56","3058","421","0","0","49","0","0","0","37","90","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0016","453","343","1136","404","811","47","177","19","1010","410","148","202","476","46","19","79","253","281","16","0","131","2606","297","1521","343","86","10","0","30","28","414","2803","233","519","174","573","79","250","182","103","175","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0017","186","0","212","0","7","28","178","27","10","155","111","14","49","25","10783","64","98","0","0","0","0","0","18","14","614","25","0","0","0","9","9","15","22","21","26","128","0","9","6","84","135","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium",NA
"ASV_0018","43","719","644","160","1838","96","0","39","325","639","56","328","307","0","48","37","110","1782","199","0","499","865","51","157","406","37","0","117","196","0","875","284","444","48","287","307","0","0","318","70","84","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0019","0","286","170","14","0","82","1321","278","0","2519","356","0","482","71","109","0","2123","0","12","11","79","43","597","8","207","275","433","295","34","25","40","15","358","0","993","208","414","0","0","27","41","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0020","0","65","0","0","0","51","0","0","11","0","380","0","0","0","0","0","0","0","0","0","0","15","0","0","266","30","0","0","0","7359","0","41","109","0","18","649","0","0","0","86","120","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA
"ASV_0021","22","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","94","82","0","0","0","6262","1198","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"ASV_0022","0","0","0","0","86","105","0","51","180","202","201","268","261","291","270","28","901","345","276","244","230","315","162","16","49","168","57","152","222","174","56","56","88","267","98","367","213","211","311","19","190","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA
"ASV_0023","388","312","207","242","90","0","0","0","50","0","1280","0","28","0","0","44","50","363","82","260","2123","0","0","0","413","202","0","0","33","0","43","0","0","668","0","24","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Frischella","perrara"
"ASV_0024","0","54","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","91","15","0","23","6523","126","0","16","36","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea",NA
"ASV_0025","357","360","181","55","275","42","27","0","17","422","295","79","0","0","0","29","285","185","0","42","259","418","162","122","258","103","72","0","36","237","100","439","312","246","50","65","188","177","89","0","29","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"ASV_0026","237","56","0","0","36","0","0","0","371","0","112","2134","0","0","0","0","0","405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2477","0","0","0","321","40","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0027","23","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","4459","57","0","0","23","20","0","0","0","0","0","134","0","0","0","73","78","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA
"ASV_0028","15","18","30","12","0","0","0","0","23","398","223","190","253","0","0","0","0","112","0","0","426","0","51","0","78","277","111","31","17","24","74","264","329","500","200","172","164","389","221","28","33","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0029","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","678","0","0","0","196","4","0","0","6","0","0","0","0","0","0","0","0","3510","12","13","0","50","54","3","8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV_0030","85","362","1277","66","376","784","118","0","1006","47","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA
"ASV_0031","0","0","0","0","0","0","0","0","3540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0032","0","26","0","2883","88","0","0","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus",NA
"ASV_0033","7","6","0","25","5","0","0","0","0","10","0","0","2","0","0","5","11","128","0","65","620","0","0","0","23","84","215","4","68","3","3","11","0","263","19","49","525","816","9","11","9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Apibacter",NA
"ASV_0034","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2476","34","0","0","16","14","0","0","0","0","0","52","0","10","4","35","61","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","stuartii"
"ASV_0035","64","0","135","0","313","0","0","0","0","0","68","0","400","0","0","0","0","146","0","0","0","0","386","170","0","0","0","0","0","0","279","0","0","79","0","391","0","0","0","0","0","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","asteroides"
"ASV_0036","0","34","0","0","0","39","1969","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0037","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","1082","0","0","0","0","0","0","0","0","0","0","0","0","663","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Frischella",NA
"ASV_0038","0","0","0","0","0","0","0","0","55","0","92","0","0","0","0","0","0","170","0","0","0","0","0","0","0","0","0","472","0","0","0","477","0","0","0","0","0","0","0","0","32","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Frischella",NA
"ASV_0039","10","18","32","15","133","126","27","7","22","46","16","107","33","27","89","0","5","32","0","0","0","34","0","0","0","0","0","0","0","0","0","17","19","48","35","42","108","98","51","18","0","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","Candidatus Lariskella",NA
"ASV_0040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","147","0","0","1043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Frischella",NA
"ASV_0041","120","0","0","0","0","0","0","0","947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1122","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea",NA
"ASV_0043","36","43","68","95","60","118","37","0","2","16","57","4","14","29","0","0","25","37","85","26","22","58","18","19","12","35","19","21","23","7","11","5","19","14","0","10","14","8","0","4","13","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASV_0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","283","0","0","0","0","0","0","0","0","0","0","644","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV_0045","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","0","0","0","798","12","0","0","0","0","0","16","0","0","0","17","22","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium",NA
"ASV_0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0047","0","0","0","0","798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0048","0","77","6","74","0","0","0","0","10","40","11","15","22","0","0","0","43","6","0","4","16","0","0","0","15","40","37","0","7","0","13","0","6","97","110","9","36","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bombilactobacillus",NA
"ASV_0049","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","29","0","0","0","0","0","0","0","0","0","576","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella",NA
"ASV_0050","36","24","34","37","27","32","19","8","0","0","38","0","14","19","13","8","0","15","38","13","0","15","32","27","17","50","27","19","25","14","14","6","0","15","5","0","13","3","0","0","19","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASV_0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","653","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Neokomagataea",NA
"ASV_0052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Zymobacter","palmae"
"ASV_0053","2","34","2","9","31","0","50","0","25","32","19","19","21","1","2","0","9","3","0","0","21","18","4","5","1","1","0","0","0","4","43","14","33","59","12","13","1","27","10","1","3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","352","0","0","0","0","0","0","0","0","0","32","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia",NA
"ASV_0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella",NA
"ASV_0056","0","0","0","0","0","0","0","0","7","140","74","17","12","111","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV_0057","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","49","22","0","0","0","0","0","5","0","0","5","16","0","0","26","95","98","34","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas",NA
"ASV_0058","8","18","26","49","26","1","23","0","21","8","2","3","7","0","1","4","31","15","0","1","7","7","0","1","0","0","0","0","1","1","12","0","6","52","8","9","0","7","9","0","1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","318","9","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","25","23","63","30","32","17","15","0","51","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia",NA
"ASV_0061","0","0","0","0","0","0","0","0","0","341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella",NA
"ASV_0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","333","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV_0063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","292","14","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA
"ASV_0064","0","18","28","15","5","2","45","0","15","13","2","3","22","4","2","1","24","2","0","0","0","3","3","1","1","0","0","0","0","0","3","48","3","4","1","19","0","9","0","1","2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0065","24","28","0","16","35","21","17","0","0","0","16","9","12","0","0","6","13","0","15","0","0","17","23","0","8","0","0","0","0","7","0","0","0","8","0","0","0","0","0","0","0","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0066","9","11","25","4","1","0","0","0","11","20","4","3","23","0","0","0","20","4","0","0","13","2","0","35","0","0","0","0","0","1","2","0","57","9","7","20","1","5","2","0","1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0067","0","13","5","6","0","0","0","0","26","124","4","0","4","3","3","0","0","0","0","0","0","0","0","5","5","29","0","0","0","0","0","0","56","5","0","0","0","0","0","0","0","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0068","12","26","18","0","11","17","17","0","0","0","18","0","0","0","0","0","0","7","28","10","8","13","0","7","0","7","7","10","12","0","0","0","9","6","0","0","9","0","0","2","8","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211","47","0","0","0","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0070","24","37","10","11","24","14","13","0","0","4","12","0","6","8","0","0","7","8","20","8","4","10","9","6","5","5","0","0","0","0","7","0","0","0","0","0","0","0","0","0","3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0071","27","21","44","13","9","9","15","0","0","0","15","0","4","4","0","0","7","4","11","6","7","9","3","3","5","0","9","0","0","4","0","0","0","4","0","2","0","0","0","0","12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001",NA
"ASV_0072","26","9","16","14","13","32","13","0","0","0","17","0","0","8","0","0","25","4","26","6","5","6","10","5","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"ASV_0073","1","0","1","6","6","7","0","0","0","0","0","6","0","5","0","0","3","0","6","0","0","0","0","1","139","0","8","3","2","6","0","0","8","3","0","15","14","0","0","6","12","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA
"ASV_0074","0","0","60","0","0","7","0","5","111","6","0","53","0","7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"ASV_0075","5","7","24","11","7","0","3","1","5","4","1","2","12","0","0","2","33","1","0","0","1","6","1","3","0","0","0","0","1","0","4","32","8","50","3","7","1","8","2","2","2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0076","18","13","23","15","23","21","19","0","0","0","0","0","0","9","0","0","0","12","12","0","0","0","11","0","13","20","16","0","0","0","0","0","8","0","0","0","0","0","0","0","22","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASV_0077","0","0","12","0","0","23","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","24","28","32","24","28","16","0","0","11","0","7","8","0","6","0","7","0","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV_0078","0","0","0","26","0","19","0","0","0","0","0","14","28","0","0","0","15","0","0","0","0","0","10","24","0","29","36","10","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae AC2044 group","bacterium"
"ASV_0079","0","15","14","7","35","0","0","0","1","12","0","7","6","0","0","0","16","27","2","0","11","3","2","1","5","1","0","0","4","0","10","3","10","2","8","12","0","0","2","0","1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0080","4","0","3","0","6","6","93","0","0","0","0","0","0","0","2","0","8","5","0","0","0","0","0","5","0","4","12","6","0","3","6","4","0","0","0","13","0","0","0","16","16","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0081","0","32","0","17","18","11","0","0","0","0","23","0","0","11","0","0","0","0","36","21","0","0","13","0","13","13","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"ASV_0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"ASV_0083","0","0","204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella",NA
"ASV_0084","0","0","0","193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus",NA
"ASV_0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas",NA
"ASV_0086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","16","15","19","92","0","0","0","0","7","0","0","10","0","0","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0087","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","22","0","10","68","14","14","13","10","7","0","0","0","0","0","0","0","0","4","0","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352",NA
"ASV_0088","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","43","30","35","0","0","0","0","0","0","0","0","0","7","0","0","0","14","41","0","0","0","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum","lacustre"
"ASV_0089","9","3","8","24","8","1","2","0","10","0","0","0","5","0","0","0","11","18","1","0","7","11","10","4","0","6","3","0","3","0","5","0","2","6","0","0","0","0","0","0","5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella",NA
"ASV_0091","5","6","0","20","11","28","9","0","0","0","10","0","5","0","0","0","14","7","10","0","6","12","11","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","136","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0093","0","0","0","0","0","0","161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella","apicola"
