"","Bee.01.16S.repl1.R1.fastq","Bee.01.16S.repl2.R1.fastq","Bee.02.16S.repl1.R1.fastq","Bee.02.16S.repl2.R1.fastq","Bee.03.16S.repl1.R1.fastq","Bee.03.16S.repl2.R1.fastq","Bee.04.16S.repl1.R1.fastq","Bee.04.16S.repl2.R1.fastq","Bee.05.16S.repl1.R1.fastq","Bee.05.16S.repl2.R1.fastq","Bee.06.16S.repl1.R1.fastq","Bee.06.16S.repl2.R1.fastq","Bee.07.16S.repl1.R1.fastq","Bee.07.16S.repl2.R1.fastq","Bee.08.16S.repl1.R1.fastq","Bee.08.16S.repl2.R1.fastq","Bee.09.16S.repl1.R1.fastq","Bee.09.16S.repl2.R1.fastq","Bee.10.16S.repl1.R1.fastq","Bee.10.16S.repl2.R1.fastq","Bee.11.16S.repl1.R1.fastq","Bee.11.16S.repl2.R1.fastq","Bee.12.16S.repl1.R1.fastq","Bee.12.16S.repl2.R1.fastq","Bee.13.16S.repl1.R1.fastq","Bee.13.16S.repl2.R1.fastq","Bee.14.16S.repl1.R1.fastq","Bee.14.16S.repl2.R1.fastq","Bee.15.16S.repl1.R1.fastq","Bee.15.16S.repl2.R1.fastq","Bee.16.16S.repl1.R1.fastq","Bee.16.16S.repl2.R1.fastq","Bee.17.16S.repl1.R1.fastq","Bee.17.16S.repl2.R1.fastq","Bee.18.16S.repl1.R1.fastq","Bee.18.16S.repl2.R1.fastq","Bee.19.16S.repl1.R1.fastq","Bee.19.16S.repl2.R1.fastq","Bee.20.16S.repl1.R1.fastq","Bee.20.16S.repl2.R1.fastq","Bee.21.16S.repl1.R1.fastq","Bee.21.16S.repl2.R1.fastq","Bee.22.16S.repl1.R1.fastq","Bee.22.16S.repl2.R1.fastq","Bee.23.16S.repl1.R1.fastq","Bee.23.16S.repl2.R1.fastq","Bee.24.16S.repl1.R1.fastq","Bee.24.16S.repl2.R1.fastq","Bee.25.16S.repl1.R1.fastq","Bee.25.16S.repl2.R1.fastq","Bee.26.16S.repl1.R1.fastq","Bee.26.16S.repl2.R1.fastq","Bee.27.16S.repl1.R1.fastq","Bee.27.16S.repl2.R1.fastq","Bee.28.16S.repl1.R1.fastq","Bee.28.16S.repl2.R1.fastq","Bee.29.16S.repl1.R1.fastq","Bee.29.16S.repl2.R1.fastq","Bee.30.16S.repl1.R1.fastq","Bee.30.16S.repl2.R1.fastq","Bee.31.16S.repl1.R1.fastq","Bee.31.16S.repl2.R1.fastq","Bee.32.16S.repl1.R1.fastq","Bee.32.16S.repl2.R1.fastq","Bee.33.16S.repl1.R1.fastq","Bee.33.16S.repl2.R1.fastq","Bee.34.16S.repl1.R1.fastq","Bee.34.16S.repl2.R1.fastq","Bee.35.16S.repl1.R1.fastq","Bee.35.16S.repl2.R1.fastq","Bee.36.16S.repl1.R1.fastq","Bee.36.16S.repl2.R1.fastq","Bee.37.16S.repl1.R1.fastq","Bee.37.16S.repl2.R1.fastq","Bee.38.16S.repl1.R1.fastq","Bee.38.16S.repl2.R1.fastq","Bee.39.16S.repl1.R1.fastq","Bee.39.16S.repl2.R1.fastq","Bee.40.16S.repl1.R1.fastq","Bee.40.16S.repl2.R1.fastq","BeeNCE.16S.repl1.R1.fastq","BeeNCE.16S.repl2.R1.fastq","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_0079","0","0","0","0","0","0","33","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"ASV_0081","0","0","0","0","0","0","96","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella",NA
"ASV_0082","0","7","0","3","0","0","0","3","0","0","3","0","0","2","51","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","8","4","0","0","0","0","0","0","6","0","0","3","0","0","0","0","0","0","7","6","0","0","0","0","0","0","16","16","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0083","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","8","0","16","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","12","4","0","9","10","0","61","31","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","10","0","0","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0084","0","0","0","0","0","0","0","0","102","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus",NA
"ASV_0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas",NA
"ASV_0086","0","0","0","0","0","7","15","0","8","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","0","0","0","0","9","11","60","10","4","13","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352",NA
"ASV_0087","0","5","7","0","16","6","0","0","12","12","0","7","6","1","0","2","0","0","9","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","11","0","13","6","1","0","0","0","7","0","11","0","10","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","2","0","6","0","0","0","0","0","0","0","0","0","0","0","5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0088","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","0","28","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","9","5","34","7","0","0","0","0","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum","lacustre"
"ASV_0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","67","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella",NA
"ASV_0090","0","0","0","0","0","26","0","0","0","11","0","18","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","35","0","20","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"ASV_0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella","apicola"
